#	X	Y	Z
	-2334892779.660000	63198570576.900002	-5992737005.350000
	16169528384.564741	60611380618.440826	-4243729783.408504
	34673950315.842934	58024192101.688278	-2494722528.780630
	53178373064.644722	55437005027.463318	-745715256.803917
	71682796709.101028	52849819388.825951	1003292019.619556
	90187221340.595200	50262635149.936882	2752299291.052608
	108691647044.731552	47675452240.087822	4501306551.397082
	127196073887.164001	45088270559.580154	6250313797.201040
	145700501907.159180	42501089990.715080	7999321026.869831
	164204931117.484253	39913910408.784927	9748328240.005444
	182709361507.985413	37326731690.648674	11497335436.927479
	201213793050.629974	34739553720.379166	13246342618.353336
	219718225704.609741	32152376392.386570	14995349785.195917
	238222659420.806335	29565199612.695049	16744356938.440853
	256727094145.375610	26978023299.012627	18493364079.074982
	275231529822.455505	24390847380.091900	20242371208.046795
	293735966396.113159	21803671794.728745	21991378326.246384
	312240403811.680054	19216496490.622620	23740385434.496983
	330744842016.618774	16629321423.232426	25489392533.553268
	349249280961.044189	14042146554.701504	27238399624.103397
	367753720597.997314	11454971852.886820	28987406706.773010
	386258160883.547058	8867797290.504198	30736413782.130116
	404762601776.776245	6280622844.388263	32485420850.690212
	423267043239.691833	3693448494.858889	34234427912.921337
	441771485237.088806	1106274225.182889	35983434969.248810
	460275927736.388062	-1480899978.881109	37732442020.059616
	478780370707.461853	-4068074129.466303	39481449065.706390
	497284814122.456604	-6655248236.920525	41230456106.510971
	515789257955.618774	-9242422310.077702	42979463142.767609
	534293702183.127808	-11829596356.486141	44728470174.745811
	552798146782.938599	-14416770382.600637	46477477202.692871
	571302591734.634277	-17003944393.944279	48226484226.836090
	589807037019.290039	-19591118395.244946	49975491247.384796
	608311482619.347046	-22178292390.550610	51724498264.532066
	626815928518.498169	-24765466383.326923	53473505278.456337
	645320374701.582397	-27352640376.539951	55222512289.322762
	663824821154.489014	-29939814372.726437	56971519297.284470
	682329267864.070312	-32526988374.053623	58720526302.483665
	700833714818.062500	-35114162382.370239	60469533305.052605
	719338162005.013062	-37701336399.250107	62218540305.114479
	737842609414.215576	-40288510426.029396	63967547302.784210
	756347057035.649902	-42875684463.838669	65716554298.169151
	774851504859.927490	-45462858513.630348	67465561291.369720
	793355952878.243042	-48050032576.202400	69214568282.479980
	811860401082.328491	-50637206652.218719	70963575271.588135
	830364849464.412842	-53224380742.226791	72712582258.777039
	848869298017.184570	-55811554846.672920	74461589244.124557
	867373746733.757446	-58398728965.915466	76210596227.703995
	885878195607.639648	-60985903100.236320	77959603209.584412
	904382644632.705200	-63573077249.850861	79708610189.830978
	922887093803.167847	-66160251414.916649	81457617168.505203
	941391543113.557617	-68747425595.540985	83206624145.665237
	959895992558.698364	-71334599791.787506	84955631121.366104
	978400442133.688110	-73921774003.681976	86704638095.659912
	996904891833.880493	-76508948231.217255	88453645068.596069
	1015409341654.867676	-79096122474.357819	90202652040.221436
	1033913791592.464966	-81683296733.043518	91951659010.580521
	1052418241642.696167	-84270471007.193039	93700665979.715607
	1070922691801.780396	-86857645296.706848	95449672947.666946
	1089427142066.119751	-89444819601.469803	97198679914.472824
	1107931592432.287842	-92031993921.353455	98947686880.169724
	1126436042897.019775	-94619168256.218018	100696693844.792419
	1144940493457.201904	-97206342605.914215	102445700808.374115
	1163444944109.863037	-99793516970.284790	104194707770.946487
	1181949394852.165771	-102380691349.165878	105943714732.539795
	1200453845681.398926	-104967865742.388214	107692721693.182983
	1218958296594.970459	-107555040149.778183	109441728652.903717
	1237462747590.400635	-110142214571.158768	111190735611.728500
	1255967198665.315430	-112729389006.350327	112939742569.682724
	1274471649817.441162	-115316563455.171371	114688749526.790695
	1292976101044.598877	-117903737917.439133	116437756483.075729
	1311480552344.698730	-120490912392.970154	118186763438.560211
	1329985003715.736328	-123078086881.580750	119935770393.265625
	1348489455155.787109	-125665261383.087433	121684777347.212585
